Player,height_cm,weight_kg,weak_foot,X90s,Gls,Ast,G.A,G.PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G.A_90,G.PK_90,G.A.PK_90,xG_90,xAG_90,xG.xAG_90,npxG_90,npxG.xAG_90,main_position,player_positions,pos_LB,pos_CB,pos_RB,pos_RWB,pos_GK,pos_LM,pos_CM,pos_CAM,pos_CDM,pos_RW,pos_RM,pos_ST,pos_LW,pos_LWB,pos_CF
Manuel Akanji,187,91,4,27.9,2,0,2,2,0,0,4,1,1.9,1.9,0.5,2.4,46,148,36,0.07,0,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Cucurella,173,66,3,19.8,0,2,2,0,0,0,10,0,1.1,1.1,1.1,2.2,31,50,73,0,0.1,0.1,0,0.1,0.06,0.05,0.11,0.06,0.11,LB,"LB, CB, LWB",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Marcos Senesi,183,78,4,24.9,4,5,9,4,0,0,13,0,2,2,1.7,3.7,31,127,4,0.16,0.2,0.36,0.16,0.36,0.08,0.07,0.15,0.08,0.15,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Rashford,186,70,3,25.2,7,2,9,5,2,2,2,0,7.4,5.8,2.3,8.1,95,65,184,0.28,0.08,0.36,0.2,0.28,0.29,0.09,0.38,0.23,0.32,LW,"LW, LM, ST",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Marcus Tavernier,177,70,3,23.5,3,4,7,3,0,0,3,0,3.9,3.9,5.2,9.1,79,84,171,0.13,0.17,0.3,0.13,0.3,0.17,0.22,0.39,0.17,0.39,LM,"LM, RM, CAM",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Mario Lemina,184,85,4,33,4,1,5,4,0,0,12,1,4.6,4.6,1.5,6.2,32,76,49,0.12,0.03,0.15,0.12,0.15,0.14,0.05,0.19,0.14,0.19,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Mark Flekken,195,87,4,36.5,0,1,1,0,0,0,3,0,0,0,0.5,0.5,0,5,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,GK,GK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Martin Dúbravka,190,80,2,22.1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,GK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Martin Ødegaard,178,68,2,34.3,8,10,18,6,2,2,2,0,7.4,5.8,9.6,15.5,91,344,202,0.23,0.29,0.52,0.17,0.47,0.22,0.28,0.5,0.17,0.45,CAM,"CAM, CM",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Marvelous Nakamba,178,71,2,12.6,0,0,0,0,0,0,5,0,0.2,0.2,0.4,0.6,1,36,5,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Mason Mount,181,74,4,5.7,1,0,1,1,0,0,2,0,0.4,0.4,0.3,0.7,9,21,34,0.17,0,0.17,0.17,0.17,0.07,0.06,0.13,0.07,0.13,CAM,"CAM, RW, CM",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Mateo Kovačić,177,80,4,17.2,1,0,1,1,0,0,4,0,1.3,1.3,1.6,2.9,37,100,38,0.06,0,0.06,0.06,0.06,0.07,0.09,0.17,0.07,0.17,CM,"CM, CDM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Matheus Cunha,183,76,4,27.1,12,7,19,11,1,1,9,0,9.5,8.7,3.2,11.9,107,87,139,0.44,0.26,0.7,0.41,0.66,0.35,0.12,0.47,0.32,0.44,ST,"ST, CAM, LM",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Matheus França,184,67,4,2.6,0,1,1,0,0,0,1,0,0.4,0.4,0.9,1.2,12,8,12,0,0.39,0.39,0,0.39,0.14,0.34,0.48,0.14,0.48,CAM,"CAM, ST",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Matheus Nunes,183,76,3,7.3,0,2,2,0,0,0,0,0,0.8,0.8,1.1,2,28,34,58,0,0.27,0.27,0,0.27,0.11,0.15,0.27,0.11,0.27,CM,"CM, LM",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Matheus Nunes,183,76,3,2,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,7,8,9,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,CM,"CM, LM",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Mathias Jensen,180,68,4,24.5,3,3,6,3,0,0,5,0,0.7,0.7,4,4.7,19,123,66,0.12,0.12,0.25,0.12,0.25,0.03,0.16,0.19,0.03,0.19,CM,CM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mathias Jørgensen,191,85,2,12.1,1,0,1,1,0,0,4,0,0.7,0.7,0.9,1.7,5,50,4,0.08,0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Ritchie,172,76,4,1.4,1,0,1,1,0,0,1,0,1,1,0,1,5,8,13,0.7,0,0.7,0.7,0.7,0.68,0,0.68,0.68,0.68,LM,"LM, LB",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Matt Targett,183,70,2,0.9,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.03,0.03,0,0.03,LB,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matty Cash,185,74,2,23.8,2,2,4,2,0,0,8,0,4.2,4.2,2.3,6.5,62,88,101,0.08,0.08,0.17,0.08,0.17,0.18,0.1,0.27,0.18,0.27,RB,"RB, RWB",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Max Lowe,175,74,3,5.6,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.3,5,12,11,0,0,0,0,0,0.1,0.13,0.23,0.1,0.23,LWB,"LWB, LB",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Maxwel Cornet,179,69,4,1.2,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,3,2,8,0.8,0,0.8,0.8,0.8,0.32,0.13,0.46,0.32,0.46,LM,"LM, CF",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Michael Keane,191,82,3,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0,0.7,4,14,3,0.21,0,0.21,0.21,0.21,0.14,0,0.14,0.14,0.14,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Obafemi,169,71,3,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,3,0,0,0,0,0,0.4,0,0.4,0.4,0.4,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Michael Olakigbe,180,73,3,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,10,4,17,0,0,0,0,0,0.18,0,0.18,0.18,0.18,LW,"LW, RW",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Michael Olise,189,73,2,14.2,10,6,16,9,1,1,0,0,5.5,4.7,5.8,10.5,68,78,134,0.71,0.42,1.13,0.64,1.06,0.39,0.41,0.8,0.33,0.74,RW,RW,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Michail Antonio,180,82,3,18.8,6,2,8,6,0,0,6,0,5.8,5.8,0.9,6.7,48,22,104,0.32,0.11,0.42,0.32,0.42,0.31,0.05,0.35,0.31,0.35,ST,ST,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Miguel Almirón,174,70,2,21.5,3,1,4,3,0,0,2,0,4.5,4.5,2.6,7.2,78,78,162,0.14,0.05,0.19,0.14,0.19,0.21,0.12,0.33,0.21,0.33,RW,"RW, RM",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Mike Trésor,172,66,3,4.7,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,15,10,31,0,0,0,0,0,0.1,0.08,0.18,0.1,0.18,LM,"LM, CAM",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Mikkel Damsgaard,180,71,3,9.4,0,2,2,0,0,0,2,0,0.9,0.9,1.4,2.4,16,61,32,0,0.21,0.21,0,0.21,0.1,0.16,0.25,0.1,0.25,CAM,"CAM, LW, CM",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Milos Kerkez,176,71,3,21.9,0,1,1,0,0,0,4,1,1.2,1.2,0.8,2,46,44,93,0,0.05,0.05,0,0.05,0.06,0.04,0.09,0.06,0.09,LB,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Elneny,179,72,3,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,0,0,0,0,0,0,0.26,0,0.26,0.26,0.26,CDM,"CDM, CM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
